set,colsample_bytree,gamma,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,subsample,f1_macro_cv,precision_macro_cv,recall_macro_cv,roc_auc_cv,train_accuracy
79,0.8,0.0,0.1,6,100,1.0,2.0,0.8,0.7837204600828515,0.8172711345048501,0.7759583641290959,0.9265425276064899,0.979381443298969
87,0.8,0.0,0.1,6,200,1.0,2.0,0.8,0.7836902917532753,0.8227008083862429,0.7706051807271319,0.9249344532578065,0.9982817869415808
105,0.8,1.0,0.05,3,200,0.0,1.0,0.8,0.7836089582492667,0.8089770847665585,0.7804772463309049,0.9326968266654815,0.9261168384879725
142,0.8,1.0,0.05,6,300,1.0,1.0,1.0,0.783581890022602,0.810599385044186,0.779138862492521,0.9320358438804796,0.9278350515463918
134,0.8,1.0,0.05,6,200,1.0,1.0,1.0,0.783581890022602,0.810599385044186,0.779138862492521,0.9320358438804796,0.9278350515463918
22,0.8,0.0,0.05,3,300,1.0,1.0,1.0,0.7835818350690265,0.8010506244421574,0.7852197937563792,0.9289753803668406,0.9415807560137457
190,0.8,1.0,0.1,6,300,1.0,1.0,1.0,0.7833355759825427,0.8080078358078999,0.7822544257910111,0.9315246657144571,0.9261168384879725
182,0.8,1.0,0.1,6,200,1.0,1.0,1.0,0.7833355759825427,0.8080078358078999,0.7822544257910111,0.9315246657144571,0.9261168384879725
174,0.8,1.0,0.1,6,100,1.0,1.0,1.0,0.7833355759825427,0.8080078358078999,0.7822544257910111,0.9315246657144571,0.9261168384879725
135,0.8,1.0,0.05,6,200,1.0,2.0,0.8,0.7833147440305053,0.8116654954919049,0.7818815331010454,0.9321966483769755,0.9226804123711341
323,1.0,1.0,0.05,6,200,0.0,2.0,0.8,0.7832406096659467,0.8152295039795041,0.7766532925069509,0.9319317006428062,0.9450171821305842
331,1.0,1.0,0.05,6,300,0.0,2.0,0.8,0.7832406096659467,0.8152295039795041,0.7766532925069509,0.9325687921463356,0.9450171821305842
64,0.8,0.0,0.1,3,200,1.0,2.0,1.0,0.783238295854032,0.8077688893478367,0.7776696406574455,0.9266108435071463,0.9587628865979382
291,1.0,1.0,0.05,3,100,0.0,2.0,0.8,0.7832022711814852,0.7976316111382531,0.7839017351212474,0.9324567259967207,0.9037800687285223
98,0.8,1.0,0.05,3,100,0.0,1.0,1.0,0.7832022711814852,0.7976316111382531,0.7839017351212474,0.9297428648910768,0.9003436426116839
4,0.8,0.0,0.05,3,100,0.0,2.0,1.0,0.7832022711814852,0.7976316111382531,0.7839017351212474,0.9310765877238147,0.9020618556701031
337,1.0,1.0,0.1,3,100,0.0,1.0,0.8,0.7831524754831142,0.8034932763894533,0.7835734522929645,0.9317707394429311,0.9278350515463918
161,0.8,1.0,0.1,3,300,0.0,1.0,0.8,0.7831045269932689,0.8081472194688304,0.7804772463309049,0.9302702653540174,0.936426116838488
340,1.0,1.0,0.1,3,100,0.0,2.0,1.0,0.7830990717172404,0.802002939579349,0.7821691655228241,0.9286283730197594,0.915807560137457
356,1.0,1.0,0.1,3,300,0.0,2.0,1.0,0.7830990717172404,0.802002939579349,0.7821691655228241,0.9286283730197594,0.915807560137457
348,1.0,1.0,0.1,3,200,0.0,2.0,1.0,0.7830990717172404,0.802002939579349,0.7821691655228241,0.9286283730197594,0.915807560137457
379,1.0,1.0,0.1,6,300,0.0,2.0,0.8,0.7830739856537886,0.8060816104279172,0.7807956745151866,0.9328573380957144,0.9501718213058419
329,1.0,1.0,0.05,6,300,0.0,1.0,0.8,0.7830660570451143,0.8120834095692512,0.7794117129482984,0.9311419237564504,0.9501718213058419
2,0.8,0.0,0.05,3,100,0.0,1.0,1.0,0.7829698555427484,0.7970717655784074,0.7839017351212473,0.9308921215653039,0.9054982817869416
153,0.8,1.0,0.1,3,200,0.0,1.0,0.8,0.7829006330462317,0.8073714510127553,0.7812912223278077,0.9304576305169947,0.9329896907216495
